"","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","yearEnd.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","yearEnd.y"
"42","Indiana Pacers",72,17455,42.2,88.9,0.474,12,33.1,0.364,30.1,55.8,0.54,16,20.2,0.792,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4,2021,26.5,34,38,36,36,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,2021
"43","Los Angeles Clippers",72,17280,43.1,89.4,0.482,14.7,35.8,0.411,28.4,53.6,0.529,16.7,19.9,0.839,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6,2021,28.8,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,2021
"44","Los Angeles Lakers",72,17455,40.8,86.4,0.472,11.1,31.3,0.354,29.7,55,0.539,17.3,23.4,0.739,9.7,34.7,44.4,24.7,7.8,5.4,15.3,19.2,109.9,2021,28.2,42,30,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,2021
"45","Memphis Grizzlies",72,17405,42.4,90.8,0.467,11,31,0.356,31.3,59.8,0.525,16.3,21.1,0.771,11,34.9,46,26.6,9,5,13.1,18.5,112,2021,24.2,38,34,38,34,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,2021
"46","Miami Heat",72,17380,40.4,86.2,0.468,13.3,37.2,0.358,27,48.9,0.553,17.2,21.7,0.79,8.3,34.4,42.7,27.1,8.1,4.1,14.5,19.5,111.2,2021,27.4,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,2021
"47","Milwaukee Bucks",72,17330,43.6,89.6,0.487,14.1,36.2,0.389,29.6,53.4,0.554,15.8,20.9,0.76,10,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2,2021,28.1,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,2021
"48","Minnesota Timberwolves",72,17405,39.8,88.8,0.448,12.8,36.7,0.349,27,52.1,0.518,17.2,22.6,0.761,10.3,32.2,42.5,25,8.6,5.4,13.9,20.4,109.5,2021,23.2,23,49,24,48,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,2021
"49","New Orleans Pelicans",72,17430,42.1,88.2,0.477,10.5,30.1,0.348,31.6,58.1,0.544,18.8,25.8,0.729,11.6,35.3,47,25.8,7.5,4.3,14.5,17.8,113.5,2021,24.8,31,41,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,2021
"50","New York Knicks",72,17430,40.7,89.3,0.456,12.2,31,0.392,28.6,58.3,0.49,17,21.6,0.784,10,36.7,46.6,22.1,7.3,5.2,13.4,21.1,110.6,2021,25.6,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,2021
"51","Oklahoma City Thunder",72,17355,38.3,86.8,0.441,11.7,34.6,0.339,26.5,52.2,0.509,15.2,21,0.725,9.8,35.2,45,21.7,6.9,4.3,15.9,17.9,103.5,2021,22.8,22,50,15,57,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,2021
"52","Orlando Magic",72,17330,38.7,90.2,0.429,11,32.1,0.343,27.7,58,0.476,16.8,21.7,0.775,10.5,35.4,45.9,22.1,7,4.5,13,17.4,105.1,2021,25.6,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,2021
"53","Philadelphia 76ers",72,17430,41.2,86.6,0.476,11.2,30,0.374,30,56.6,0.531,19.5,25.4,0.767,10,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2,2021,27.1,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,2021
"54","Phoenix Suns",72,17480,44,89.8,0.49,13.3,35.2,0.378,30.8,54.6,0.563,15.9,19,0.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2,2021,26.6,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,2021
"55","Portland Trail Blazers",72,17305,41.9,92.4,0.453,16,41.4,0.385,25.9,51,0.509,18.1,22,0.823,10.8,34.4,45.2,21.6,7,5.1,11.3,19.2,117.8,2021,27.4,42,30,40,32,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,2021
"56","Sacramento Kings",72,17305,42.5,88.5,0.481,12.1,33.3,0.364,30.4,55.2,0.551,16.4,22,0.745,9.3,32,41.3,25.5,7.5,5,13.4,19.4,113.6,2021,25.6,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,2021
"57","San Antonio Spurs",72,17480,41.8,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22,0.792,9.3,34.6,43.8,24.4,7,5.1,11.4,17.9,111,2021,26.2,33,39,32,40,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,2021
"58","Toronto Raptors",72,17305,40,89.3,0.448,14.6,39.6,0.368,25.4,49.7,0.512,17.5,21.5,0.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112,2021,26.6,27,45,35,37,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,2021
"59","Utah Jazz",72,17355,41.7,89,0.468,16.9,43.5,0.389,24.8,45.6,0.544,17.3,21.7,0.799,10.7,38,48.8,23.9,6.7,5.2,14.4,18.7,117.6,2021,28.5,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,2021
"60","Washington Wizards",72,17405,41.2,86.7,0.475,9.7,27.7,0.351,31.5,59.1,0.533,19.2,25,0.769,9.2,33.9,43.1,24.3,7,3.9,13.7,20.6,111.2,2021,26.6,34,38,32,40,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,2021
"61","Atlanta Hawks",67,16280,39,86.8,0.449,11.5,34.6,0.333,27.4,52.2,0.525,17.7,22.4,0.79,9.5,32,41.5,23,7.5,4.9,15.5,22.2,107.2,2020,24.1,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103,0.258,0.398,0.554,2020
"62","Boston Celtics",72,17430,41.1,89.3,0.461,12.5,34.4,0.364,28.6,54.8,0.522,18.5,23.1,0.801,10.6,35.3,45.9,22.9,8.2,5.6,13.8,21.5,113.3,2020,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107,6.3,99.5,0.259,0.386,0.57,2020
