FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.463,0.363,0.752,32.9,12.5,44.2,24.7,10.1,6.2,14.7,23.2,109.5,-0.52,102.2,0.5,94.1,0.304,MIL,MEM,2014-11-08 0:00,2015,1
0.452,0.38,0.76,33.8,10.9,43.1,27.3,9.6,4.7,14.3,18.9,105.3,-0.68,103.1,5.8,93.9,0.262,ATL,NYK,2014-11-08 0:00,2015,1
0.435,0.367,0.741,35.6,11.2,45.9,25.7,8.4,4.8,14.3,20.1,103.4,0.14,102.0,6.5,93.8,0.251,SAS,NOP,2014-11-08 0:00,2015,0
0.451,0.353,0.748,36.3,12.2,48.8,23.2,6.7,4.7,13.8,19.5,104.4,-0.46,104.3,3.2,92.8,0.276,CHI,BOS,2014-11-08 0:00,2015,0
0.432,0.352,0.703,33.1,11.0,44.0,23.4,8.4,4.4,15.2,20.9,105.3,0.46,106.4,3.1,95.2,0.267,DAL,MIA,2014-11-09 0:00,2015,0
0.45,0.341,0.801,33.1,11.3,44.4,20.8,8.8,5.0,13.0,21.9,108.2,0.52,106.2,-0.9,96.3,0.261,PHX,GSW,2014-11-09 0:00,2015,1
0.455,0.344,0.787,33.9,11.5,46.1,22.0,7.4,4.8,14.9,22.3,111.0,0.67,110.6,-7.2,94.0,0.225,LAL,CHA,2014-11-09 0:00,2015,1
0.447,0.331,0.754,34.1,13.3,45.1,22.3,7.5,4.6,15.4,20.5,107.8,-0.25,107.4,-3.0,92.7,0.295,BKN,ORL,2014-11-09 0:00,2015,1
0.473,0.344,0.71,34.3,10.1,48.0,23.1,8.1,5.7,14.9,20.3,112.4,-0.39,106.4,-1.1,92.8,0.284,DET,UTA,2014-11-09 0:00,2015,0
0.439,0.362,0.756,37.0,11.1,48.2,23.1,6.7,5.3,16.0,19.2,103.5,0.18,103.7,4.5,94.2,0.303,POR,DEN,2014-11-09 0:00,2015,1
0.458,0.352,0.751,32.9,12.0,44.4,22.1,8.0,4.9,13.5,22.3,111.1,-0.62,107.7,3.3,92.8,0.266,TOR,PHI,2014-11-09 0:00,2015,1
0.442,0.339,0.783,36.0,12.5,49.3,21.3,7.6,4.5,14.3,23.1,107.5,0.28,105.5,2.3,95.7,0.287,OKC,SAC,2014-11-09 0:00,2015,1
