FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,BLK,TOV,PTS,MarginOfVictory,SimpleRatngSystem,ORtg,DRtg,NRtg,X3PAr,TS.,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.463,0.38,0.752,33.8,10.9,43.1,27.3,4.7,14.3,109.5,5.43,4.75,109.5,103.1,5.8,0.321,0.563,ATL,UTA,2014-11-12 0:00,2015,1
0.455,0.325,0.787,33.3,11.5,46.0,22.5,4.6,17.1,111.0,-3.55,-3.07,111.0,108.2,-3.7,0.284,0.518,DEN,POR,2014-11-12 0:00,2015,0
0.478,0.347,0.768,32.4,10.6,43.9,23.1,6.1,15.5,111.6,-9.32,-9.5,111.6,110.0,-10.1,0.24,0.508,NYK,ORL,2014-11-12 0:00,2015,0
0.435,0.339,0.741,34.5,12.2,45.8,23.3,4.7,14.4,103.4,3.24,3.62,103.4,102.2,3.5,0.184,0.531,MEM,SAC,2014-11-13 0:00,2015,1
0.443,0.352,0.754,33.1,11.5,44.0,23.4,3.7,15.2,104.7,2.9,3.36,104.7,106.4,3.1,0.296,0.55,DAL,PHI,2014-11-13 0:00,2015,1
0.444,0.352,0.715,32.9,12.0,44.4,22.1,5.1,15.1,107.0,3.07,2.45,107.0,107.7,3.3,0.302,0.553,TOR,CHI,2014-11-13 0:00,2015,0
0.452,0.398,0.76,34.8,11.2,45.4,27.8,4.8,16.0,105.3,10.1,10.01,105.3,101.4,10.2,0.311,0.571,GSW,BKN,2014-11-13 0:00,2015,1
0.457,0.344,0.751,33.9,12.5,46.1,22.0,5.7,15.8,108.2,-6.84,-6.17,108.2,110.6,-7.2,0.22,0.513,LAL,SAS,2014-11-14 0:00,2015,0
0.447,0.327,0.754,33.8,13.3,45.3,25.3,4.9,14.9,107.8,0.16,-0.4,107.8,104.5,0.2,0.28,0.523,BOS,CLE,2014-11-14 0:00,2015,0
0.466,0.348,0.778,32.9,9.3,45.0,22.8,5.1,16.9,108.9,3.44,3.82,108.9,103.4,3.6,0.392,0.548,HOU,PHI,2014-11-14 0:00,2015,1
0.428,0.341,0.769,33.1,11.5,44.4,20.8,4.1,15.8,99.9,-0.9,-0.38,99.9,106.2,-0.9,0.291,0.537,PHX,CHA,2014-11-14 0:00,2015,0
0.453,0.37,0.729,34.8,10.6,47.3,24.0,4.9,13.5,101.6,0.79,1.13,101.6,107.3,0.9,0.233,0.537,NOP,MIN,2014-11-14 0:00,2015,1
0.439,0.339,0.756,36.0,11.1,49.3,21.3,4.1,14.7,103.5,2.18,2.47,103.5,105.5,2.3,0.262,0.532,OKC,DET,2014-11-14 0:00,2015,0
0.455,0.38,0.762,33.8,11.3,43.1,27.3,4.9,14.9,105.3,5.43,4.75,105.3,103.1,5.8,0.321,0.563,ATL,MIA,2014-11-14 0:00,2015,1
0.462,0.347,0.742,32.4,11.1,43.9,23.1,4.7,14.3,103.7,-9.32,-9.5,103.7,110.0,-10.1,0.24,0.508,NYK,UTA,2014-11-14 0:00,2015,0
0.463,0.347,0.752,33.7,10.9,44.4,21.9,6.1,13.8,109.5,-5.72,-5.87,109.5,107.7,-6.1,0.235,0.524,ORL,MIL,2014-11-14 0:00,2015,1
0.478,0.352,0.768,36.6,10.6,47.7,22.8,6.2,14.3,111.6,0.28,-0.23,111.6,103.2,0.3,0.255,0.523,IND,DEN,2014-11-14 0:00,2015,0
0.442,0.341,0.783,34.6,12.5,45.9,21.1,4.8,15.4,107.5,-3.71,-3.07,107.5,109.2,-3.9,0.204,0.542,SAC,SAS,2014-11-15 0:00,2015,1
0.45,0.36,0.801,36.0,11.3,47.0,25.3,4.6,13.0,108.2,0.72,0.17,108.2,103.0,0.7,0.203,0.534,WAS,ORL,2014-11-15 0:00,2015,1
0.455,0.352,0.787,33.1,11.5,44.0,23.4,4.5,16.0,111.0,2.9,3.36,111.0,106.4,3.1,0.296,0.55,DAL,MIN,2014-11-15 0:00,2015,1
0.458,0.398,0.773,34.8,11.2,45.4,27.8,4.5,16.2,105.7,10.1,10.01,105.7,101.4,10.2,0.311,0.571,GSW,CHA,2014-11-15 0:00,2015,1
0.458,0.353,0.751,36.3,12.0,48.8,23.2,5.3,13.9,111.1,3.0,2.54,111.1,104.3,3.2,0.269,0.536,CHI,IND,2014-11-15 0:00,2015,0
0.473,0.362,0.71,37.0,10.1,48.2,23.1,5.1,15.2,112.4,4.23,4.41,112.4,103.7,4.5,0.316,0.544,POR,BKN,2014-11-15 0:00,2015,1
0.428,0.352,0.769,32.9,11.5,44.4,22.1,5.0,14.3,99.9,3.07,2.45,99.9,107.7,3.3,0.302,0.553,TOR,UTA,2014-11-15 0:00,2015,1
0.456,0.339,0.741,34.5,10.0,45.8,23.3,4.7,13.0,103.9,3.24,3.62,103.9,102.2,3.5,0.184,0.531,MEM,DET,2014-11-15 0:00,2015,1
